baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC002116.2,5.18776997355841,1.14813750534732,0.468916779644392,2.44848884746249,0.014345687107161,0.0289953774011485
AC002127.2,2.14878754910589,-3.99677001834288,0.856702378069236,-4.66529581410812,3.08173376829471e-06,1.05475579272886e-05
AC002128.1,3.52734219487621,1.92092399914255,0.575840330800218,3.33586221109788,0.000850352989740424,0.00214905077437093
AC002310.1,112.722915905721,1.21514892901652,0.175026237897989,6.94266724583746,3.84765004956987e-12,2.11273469301800e-11
AC002310.2,15.843314534423,1.91860863181275,0.307549394709117,6.23837557419804,4.42138096382866e-10,2.1215716472055e-09
AC002350.1,5.49171670240707,1.21102251067694,0.421441925157986,2.87352168444789,0.00405923211137169,0.00915476007002563
AC002366.1,12.168165997974,-5.40072575002488,0.632584249054069,-8.53755963431088,1.37086226131811e-17,1.01659989877322e-16
AC002367.1,1.69122684205841,2.1921508705872,0.849176756196627,2.58150126530266,0.00983716307808378,0.0206145713858255
AC002407.1,8.08425263472235,-1.70785114711079,0.440438749011411,-3.87761329116512,0.000105486210755792,0.00030160355829948
AC002428.2,6.32788114290358,2.04827924446422,0.669030983800918,3.06156111459513,0.00220186037758483,0.00520577086960116
AC002451.1,24.9421231840661,1.45368238498491,0.421965183615134,3.44502921433155,0.000570997674609812,0.00148346918171173
AC002451.2,2.82590049839328,-2.13732709063687,0.660339531193674,-3.23670928313696,0.00120916526240443,0.00298132436978407
AC002456.1,3.71670091149956,-4.80178844205449,0.795508527944537,-6.03612440769368,1.57859568035918e-09,7.25560911402767e-09
AC002467.1,18.5482265781948,1.55197238495344,0.316898432414384,4.89738107294907,9.71223779371607e-07,3.49636418452958e-06
AC002470.2,1.0385272231779,3.09996672656534,0.976399739174316,3.17489507851242,0.00149890688493259,0.00363701703649759
AC002480.2,64.9942995330561,-5.76694567230814,0.385351163174427,-14.9654295183683,1.23523828495946e-50,2.72770343056711e-49
AC002480.3,5.53470938150332,-5.97193368731349,0.865660619128489,-6.89870089426706,5.24802359911804e-12,2.85889430139757e-11
AC002511.1,8.2073606104735,2.99425881860577,0.539859109284482,5.54637083474298,2.91659904469829e-08,1.20933378540087e-07
AC002511.2,1.92110562140661,4.05808450875388,0.827675890789342,4.90298745428449,9.43900149062669e-07,3.40162713554829e-06
AC002550.1,8.13958702945488,2.02725560609277,0.599871609730758,3.37948249793429,0.000726224311814072,0.00185590657463596
AC002553.2,22.7516323497771,-0.817110360763227,0.318253028669324,-2.56748651907484,0.0102438772511532,0.0213885518216522
AC002984.1,4.30825983948642,2.36115615472427,0.555552534004824,4.25010419393347,2.13671097663986e-05,6.63026462781622e-05
AC003002.2,18.235558785767,-0.646204741145788,0.207750536661066,-3.11048410045764,0.00186780950914107,0.00446349495835793
AC003002.3,15.2550065766318,-0.601651384421213,0.252264528102418,-2.3850019221765,0.0170790321153361,0.0339929521541032
AC003005.2,10.5513267567362,-2.33366450970072,0.382150868659055,-6.10665760852359,1.017391671393e-09,4.74923439691874e-09
AC003035.1,3.87844130187192,1.26033977423767,0.49489655052529,2.54667318432494,0.0108755232347223,0.0225692173630709
AC003072.1,25.0242588130536,1.63816212576198,0.267314836344847,6.12821251585411,8.88718309186191e-10,4.17339151479312e-09
AC003080.1,173.801743280398,1.12161759888927,0.16230031331932,6.91075436609,4.82083174847765e-12,2.63169867672756e-11
AC003101.1,2.73625893959916,-1.33042780815957,0.596830202452879,-2.2291563039064,0.0258035067568381,0.0492832674588687
AC003659.1,430.630869291921,1.4916346667769,0.17086313865733,8.72999687643809,2.54679656145707e-18,1.95298748809985e-17
AC003681.1,80.8536389193206,-1.62776641133204,0.171384689454448,-9.49773527911709,2.14504498621739e-21,1.8803376917638e-20
AC003682.1,17.5302740998384,-1.58912006976285,0.326003275167112,-4.87455246867765,1.09055398515879e-06,3.90305965178094e-06
AC003687.1,14.4094931124732,-7.06705056533065,0.687815083816579,-10.2746373721796,9.16885928642049e-25,9.19445693337396e-24
AC003989.1,1.09835021514625,-2.96137746394071,1.09893828238445,-2.69476230959502,0.00704388589424049,0.0152035903172752
AC003991.1,64.7502775377308,-1.66652878821647,0.146065250436223,-11.4094816066066,3.74957228122923e-30,4.53765442664602e-29
AC003991.2,14.9152658513845,-0.686216460067148,0.242866783382322,-2.82548502726659,0.00472090943063574,0.0105205455756046
AC004000.1,15.8463008918882,-4.13544521534051,0.484884252508398,-8.52872658566879,1.47967443608111e-17,1.09464784530768e-16
AC004004.1,4.34505988056517,-1.93193466528076,0.585998003462125,-3.29682806744516,0.000977833403780793,0.00244505421352697
AC004022.2,1.73404124850101,-4.30245584310423,0.974228828154111,-4.41626825112143,1.00419453432732e-05,3.24548906451877e-05
AC004023.1,7.48894123866781,-2.00012992101577,0.378115505546494,-5.28973261259138,1.22495304335442e-07,4.8092226227696e-07
AC004024.1,11.6986037615437,1.02403760374788,0.355652619945614,2.87931972469225,0.0039853407406434,0.00899412103249005
AC004066.2,1.15612368819533,-3.31741889064242,1.14098121385584,-2.90751403297126,0.00364313998206535,0.00828106761508377
AC004067.1,0.91365033465778,2.90345920245879,1.15609463988864,2.51143730130819,0.0120240643268496,0.024730781428591
AC004076.1,5.1996524859504,-2.78018164343159,0.537520053417767,-5.17223799512983,2.31306706501797e-07,8.86373809820301e-07
AC004076.2,65.3685661343639,-0.859880609644953,0.20176281557878,-4.26183886846684,2.02751616430405e-05,6.30998762757506e-05
AC004112.1,11.4573963512081,0.641415019665108,0.27884965925458,2.30021805075802,0.0214358696765624,0.0417249339190275
AC004130.1,13.6499641751265,-1.38558283274767,0.303280293808987,-4.56865434725654,4.90865523180259e-06,1.64143641919959e-05
AC004158.1,3541.37866061114,0.82073299005153,0.193389513178219,4.2439374119277,2.19631633080464e-05,6.80459025447678e-05
AC004160.1,54.830131033852,-3.37800414239302,0.298574777093834,-11.3137625866213,1.12173779336695e-29,1.33360404419865e-28
AC004160.2,6.49634556286065,-4.38064344160654,0.722594074745879,-6.0623849471048,1.34117743924403e-09,6.19982407703114e-09
AC004221.1,5.37227151752914,-3.47680520434865,0.665288745900179,-5.22600934673006,1.73207607283595e-07,6.70663033523314e-07
AC004223.2,82.0616305339859,2.15643180039997,0.193696039043535,11.1330712339208,8.65993532374307e-29,1.00032177992084e-27
AC004233.1,1.55075682411964,-3.12304343893381,0.917197091392662,-3.40498620006723,0.000661673974168589,0.00170163455433226
AC004233.3,32.5149250367925,1.24532934729619,0.276485871766305,4.50413375316618,6.66442243368208e-06,2.1961502932934e-05
AC004233.4,1.7974763100394,-4.01383114145349,0.888456196094296,-4.51775918621371,6.249750383089e-06,2.06737113681412e-05
AC004241.1,48.830227485704,1.64948337288204,0.173956177324154,9.48217762803761,2.49030900484006e-21,2.17605572565786e-20
AC004241.5,18.9830556669292,1.91796167156316,0.446641156134513,4.29418929541176,1.75332833408487e-05,5.50282374716877e-05
AC004263.1,4.30431332675428,1.67090199087247,0.496272632707163,3.36690335261429,0.000760173244133631,0.00193577867221721
AC004381.1,16.0716817701471,2.73315854690522,0.317267309712116,8.61468693192896,7.01329691976889e-18,5.27152620656894e-17
AC004381.3,4.80019074606167,1.88602344026759,0.557288621052944,3.38428485531272,0.000713639228199482,0.00182664808588638
AC004449.1,1.36835508159584,1.90072491657431,0.812580944567356,2.33912071072048,0.0193291870995773,0.0379856046347784
AC004453.1,2.55676859912968,1.53654300278436,0.583789906141618,2.63201365186266,0.00848804521025509,0.01801548645204
AC004453.2,18.6802806959111,1.19682950718826,0.280152511219085,4.2720641766881,1.93671816324777e-05,6.04579808283078e-05
AC004466.1,94.3667487281813,2.08888759120792,0.227798228093137,9.16990271914609,4.73446099634433e-20,3.91416114301102e-19
AC004477.1,114.24352132421,0.882951542079679,0.167293099839319,5.27787184843687,1.30692809022171e-07,5.12212652794497e-07
AC004490.1,20.8210461105479,1.1388932397748,0.491225390111761,2.31847388734464,0.02042358052169,0.0399363973321563
AC004494.1,43.457294442718,-0.82519220505791,0.298417684102464,-2.76522555136033,0.00568834488992733,0.0125023614674851
AC004520.1,97.9811056186673,1.74451396375805,0.21476213377501,8.12300535990041,4.54779227582402e-16,3.12287285745215e-15
AC004540.1,117.283303609485,-3.20116920069668,0.279767573279472,-11.4422453008837,2.57143243033801e-30,3.12758806116472e-29
AC004540.2,66.1695677928634,-4.72253520763125,0.39520174131537,-11.9496821848836,6.51739915082735e-33,8.62954764425626e-32
AC004554.1,1.0742580961521,3.17806929904027,0.991199250559454,3.20628702780647,0.00134459795318658,0.00328930628107461
AC004584.3,61.8560259734645,-0.850451837291154,0.163928264321487,-5.18795121031291,2.12620287612423e-07,8.16992305786484e-07
AC004585.1,4.89668833441788,3.69479379582871,0.666340473646676,5.54490375709618,2.94115901704742e-08,1.21921783979851e-07
AC004593.1,1.4438784341937,3.60709358608689,0.987280447820885,3.65356530056726,0.000258623975735512,0.00070403772609319
AC004593.2,12.065841443857,5.53997106813494,0.666893752370997,8.30712695753823,9.80470285939989e-17,6.97526311303788e-16
AC004593.3,11.5742102763317,3.95790714207856,0.477961878289033,8.28080087944825,1.22349622397648e-16,8.66040387973625e-16
AC004597.1,3.38510465784776,-5.24133008830504,0.891050136310124,-5.88219436227192,4.0486250295671e-09,1.80435289728489e-08
AC004623.1,15.1653588331738,2.15211702376539,0.481413144647869,4.47041599859008,7.80676016549071e-06,2.55290508695039e-05
AC004672.2,10.1549952203712,-1.21620014171234,0.316153756055327,-3.84686285839825,0.000119639892058317,0.000339398530957573
AC004678.1,43.9485755022126,0.619903940308352,0.225955168072208,2.74348201723915,0.00607913777537243,0.0132877586487781
AC004690.2,233.082828995846,5.85335301314192,0.432809654238139,13.524081442789,1.12743085444065e-41,1.94614393503754e-40
AC004692.1,34.6715559876099,-5.20149189727277,0.433445104171378,-12.0003475577756,3.53807544716534e-33,4.71985694974676e-32
AC004692.2,2.86702490990013,-3.5161141184205,0.941457896467818,-3.734754503215,0.000187898390020159,0.000520400397066742
AC004702.1,23.2577783802445,1.48223701995216,0.253063497970228,5.85717431332805,4.70808892657016e-09,2.08751036791484e-08
AC004771.4,24.6713130236391,0.79008369952371,0.260896674688265,3.02833947756425,0.00245901678572279,0.00576931712550513
AC004775.1,2.80776237150979,1.73107629432812,0.59353332248988,2.91656125904816,0.00353913217017992,0.00806582913222779
