"","id","altName","node_attributes"
"436","ARCN1",NA,"turquoise"
"437","ARFGEF3",NA,"turquoise"
"438","ARFRP1",NA,"turquoise"
"439","ARGFXP2",NA,"turquoise"
"440","ARHGAP1",NA,"turquoise"
"441","ARHGAP10",NA,"turquoise"
"442","ARHGAP12",NA,"turquoise"
"443","ARHGAP15",NA,"turquoise"
"444","ARHGAP18",NA,"turquoise"
"445","ARHGAP19",NA,"turquoise"
"446","ARHGAP20",NA,"turquoise"
"447","ARHGAP21",NA,"turquoise"
"448","ARHGAP23",NA,"turquoise"
"449","ARHGAP26",NA,"turquoise"
"450","ARHGAP27",NA,"turquoise"
"451","ARHGAP28",NA,"turquoise"
"452","ARHGAP29",NA,"turquoise"
"453","ARHGAP30",NA,"turquoise"
"454","ARHGAP31",NA,"turquoise"
"455","ARHGAP32",NA,"turquoise"
"456","ARHGAP33",NA,"turquoise"
"457","ARHGAP42",NA,"turquoise"
"458","ARHGAP44",NA,"turquoise"
"459","ARHGAP45",NA,"turquoise"
"460","ARHGAP6",NA,"turquoise"
"461","ARHGAP8",NA,"turquoise"
"462","ARHGDIA",NA,"turquoise"
"463","ARHGEF10L",NA,"turquoise"
"464","ARHGEF11",NA,"turquoise"
"465","ARHGEF12",NA,"turquoise"
"466","ARHGEF17",NA,"turquoise"
"467","ARHGEF18",NA,"turquoise"
"468","ARHGEF2",NA,"turquoise"
"469","ARHGEF25",NA,"turquoise"
"470","ARHGEF26",NA,"turquoise"
"471","ARHGEF28",NA,"turquoise"
"472","ARHGEF3",NA,"turquoise"
"473","ARHGEF33",NA,"turquoise"
"474","ARHGEF37",NA,"turquoise"
"475","ARHGEF38",NA,"turquoise"
"476","ARHGEF39",NA,"turquoise"
"477","ARHGEF4",NA,"turquoise"
"478","ARHGEF40",NA,"turquoise"
"479","ARHGEF6",NA,"turquoise"
"480","ARHGEF7",NA,"turquoise"
"481","ARHGEF9",NA,"turquoise"
"482","ARID3A",NA,"turquoise"
"483","ARID5A",NA,"turquoise"
"484","ARID5B",NA,"turquoise"
"485","ARIH1",NA,"turquoise"
"486","ARL10",NA,"turquoise"
"487","ARL13B",NA,"turquoise"
"488","ARL16",NA,"turquoise"
"489","ARL2",NA,"turquoise"
"490","ARL3",NA,"turquoise"
"491","ARL4A",NA,"turquoise"
"492","ARL4C",NA,"turquoise"
"493","ARL5A",NA,"turquoise"
"494","ARL8A",NA,"turquoise"
"495","ARL8B",NA,"turquoise"
"496","ARMC1",NA,"turquoise"
"497","ARMC3",NA,"turquoise"
"498","ARMC8",NA,"turquoise"
"499","ARMC9",NA,"turquoise"
"500","ARMCX1",NA,"turquoise"
"501","ARMCX2",NA,"turquoise"
"502","ARMCX4",NA,"turquoise"
"503","ARMCX5",NA,"turquoise"
"504","ARMCX6",NA,"turquoise"
"505","ARNT2",NA,"turquoise"
"506","ARNTL",NA,"turquoise"
"507","ARNTL2",NA,"turquoise"
