"","id","altName","node_attributes"
"521","BCL2",NA,"turquoise"
"522","BCL2L1",NA,"turquoise"
"523","BCL2L14",NA,"turquoise"
"524","BCL2L2-PABPN1",NA,"turquoise"
"525","BCL6",NA,"turquoise"
"526","BCL9L",NA,"turquoise"
"527","BCO2",NA,"turquoise"
"528","BCOR",NA,"turquoise"
"529","BDH1",NA,"turquoise"
"530","BDH2",NA,"turquoise"
"531","BDNF",NA,"turquoise"
"532","BEND3",NA,"turquoise"
"533","BEND4",NA,"turquoise"
"534","BEND5",NA,"turquoise"
"535","BEND6",NA,"turquoise"
"536","BEND7",NA,"turquoise"
"537","BEST1",NA,"turquoise"
"538","BEST3",NA,"turquoise"
"539","BEST4",NA,"turquoise"
"540","BET1L",NA,"turquoise"
"541","BEX1",NA,"turquoise"
"542","BGN",NA,"turquoise"
"543","BICC1",NA,"turquoise"
"544","BIN1",NA,"turquoise"
"545","BIN3",NA,"turquoise"
"546","BIRC3",NA,"turquoise"
"547","BLCAP",NA,"turquoise"
"548","BLID",NA,"turquoise"
"549","BLM",NA,"turquoise"
"550","BLOC1S1",NA,"turquoise"
"551","BLVRA",NA,"turquoise"
"552","BMP2",NA,"turquoise"
"553","BMP2K",NA,"turquoise"
"554","BMP3",NA,"turquoise"
"555","BMP7",NA,"turquoise"
"556","BMP8A",NA,"turquoise"
"557","BMPER",NA,"turquoise"
"558","BMPR2",NA,"turquoise"
"559","BMS1P4",NA,"turquoise"
"560","BMT2",NA,"turquoise"
"561","BNIP3P25",NA,"turquoise"
"562","BNIP3P42",NA,"turquoise"
"563","BOC",NA,"turquoise"
"564","BOK",NA,"turquoise"
"565","BORCS5",NA,"turquoise"
"566","BORCS8",NA,"turquoise"
"567","BORCS8-MEF2B",NA,"turquoise"
"568","BPIFB1",NA,"turquoise"
"569","BRAFP1",NA,"turquoise"
"570","BRAT1",NA,"turquoise"
"571","BRCA1",NA,"turquoise"
"572","BRCA2",NA,"turquoise"
"573","BRI3",NA,"turquoise"
"574","BRICD5",NA,"turquoise"
"575","BRINP1",NA,"turquoise"
"576","BRINP2",NA,"turquoise"
"577","BRINP3",NA,"turquoise"
"578","BRWD3",NA,"turquoise"
"579","BSN",NA,"turquoise"
"580","BST1",NA,"turquoise"
"581","BTAF1",NA,"turquoise"
"582","BTBD11",NA,"turquoise"
"583","BTBD17",NA,"turquoise"
"584","BTBD3",NA,"turquoise"
"585","BTBD8",NA,"turquoise"
"586","BTG1",NA,"turquoise"
"587","BTN2A1",NA,"turquoise"
"588","BTN2A2",NA,"turquoise"
"589","BTN3A1",NA,"turquoise"
"590","BTN3A2",NA,"turquoise"
"591","BTN3A3",NA,"turquoise"
"592","BTNL2",NA,"turquoise"
"593","BTRC",NA,"turquoise"
"594","BUB1B",NA,"turquoise"
"595","BUD13P1",NA,"turquoise"
"596","BUD31",NA,"turquoise"
"597","BVES",NA,"turquoise"
"598","BYSL",NA,"turquoise"
"599","BZW1P2",NA,"turquoise"
"600","BZW2",NA,"turquoise"
"601","C10orf10",NA,"turquoise"
"602","C11orf1",NA,"turquoise"
"603","C11orf65",NA,"turquoise"
"604","C11orf71",NA,"turquoise"
"605","C11orf80",NA,"turquoise"
"606","C11orf95",NA,"turquoise"
"607","C11orf96",NA,"turquoise"
"608","C12orf40",NA,"turquoise"
"609","C12orf56",NA,"turquoise"
"610","C12orf66",NA,"turquoise"
"611","C12orf76",NA,"turquoise"
"612","C14orf119",NA,"turquoise"
"613","C14orf159",NA,"turquoise"
"614","C14orf2",NA,"turquoise"
"615","C14orf37",NA,"turquoise"
"616","C15orf40",NA,"turquoise"
