"GeneID","OPC_I1","OPC_I2","OPC_I3","OPC_I4","OPC_I5","OPC_I6","OPC_I7","OPC_I8","OPC_I9","OPC_I10","MO_I1","MO_I2","MO_I3","MO_I4","MO_I5","MO_I6","MO_I7"
"AL590399.6",0,2,0,0,0,2,0,0,0,0,5,2,4,1,0,2,1
"AL590408.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590410.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590422.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590426.1",0,1,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0
"AL590426.2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590428.1",0,3,0,0,0,6,9,0,1,2,0,0,2,1,2,0,0
"AL590432.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AL590434.1",0,2,2,5,1,1,2,11,3,9,4,2,7,8,3,2,9
"AL590438.1",3,0,1,1,1,0,0,0,0,2,0,0,0,1,0,0,1
"AL590440.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590440.2",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4
"AL590483.1",0,0,0,2,0,1,0,0,0,0,0,0,2,1,0,0,0
"AL590483.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590483.3",0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1
"AL590490.1",0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"AL590491.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590491.2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590491.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590502.1",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"AL590552.1",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3
"AL590556.1",0,0,0,0,1,1,0,0,1,0,0,2,0,3,2,0,1
"AL590556.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AL590559.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590560.1",78,91,178,141,112,54,69,183,214,234,38,52,64,58,64,25,60
"AL590560.2",252,225,411,131,139,136,227,306,208,342,141,138,155,110,158,26,140
"AL590560.3",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590609.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590609.2",0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"AL590609.3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AL590617.1",0,0,3,11,3,1,0,2,1,1,0,0,14,1,0,3,1
"AL590617.2",4,16,53,49,38,28,63,36,56,37,9,3,11,14,4,9,9
"AL590623.1",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AL590627.1",0,2,1,3,3,0,0,4,5,7,7,1,1,13,4,2,5
"AL590627.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590632.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL590635.1",0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0
"AL590639.1",0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
